BSion,BFizz,BLucian,BIrelia,BNautilus,RVi,RTryndamere,ROrianna,RAshe,RThresh,RFalse
BJinx,BOrianna,BRammus,BNunu,BNasus,RTryndamere,RThresh,RLucian,RZac,RFizz,RTrue
BUrgot,BJinx,BLeona,BZac,BGalio,RDarius,RWarwick,REzreal,RNami,RCaitlyn,RFalse
BTryndamere,BSoraka,BVayne,BLux,BLee Sin,RSion,RWarwick,RVeigar,RLucian,RBlitzcrank,RTrue
BAkali,BZed,BWarwick,BJhin,BBrand,RSoraka,REkko,ROrianna,RMaster Yi,RCaitlyn,RTrue
BVayne,BAnnie,BMaster Yi,BViktor,BPantheon,RGnar,RKatarina,REvelynn,RBard,RTwitch,RTrue
BTryndamere,BLee Sin,BCassiopeia,BLeona,BLucian,RLeBlanc,RCaitlyn,RMorgana,RMaster Yi,RDarius,RFalse
BGalio,BNautilus,BAhri,BDraven,BKarma,RThresh,RAshe,RCassiopeia,RZed,RJax,RTrue
BVayne,BThresh,BTryndamere,BElise,BNunu,RViktor,RWarwick,RFiora,RBard,RJhin,RTrue
BBraum,BTeemo,BKassadin,BMiss Fortune,BKhaZix,RDarius,RVayne,RGalio,RTahm Kench,RLeBlanc,RFalse
BBrand,BShen,BVayne,BGangplank,BZed,RDraven,RTaric,RHecarim,RIrelia,RKassadin,RTrue
BLeona,BMiss Fortune,BSinged,BOrianna,BAmumu,RCassiopeia,RMaster Yi,RFiora,RThresh,RTwitch,RFalse
BSyndra,BJhin,BBard,BTryndamere,BYasuo,RShen,ROrianna,RLux,RVayne,RNidalee,RFalse
BTeemo,BZiggs,BThresh,BVayne,BKhaZix,RNami,RLee Sin,RTwitch,RNasus,RCassiopeia,RFalse
BLee Sin,BAzir,BSona,BIrelia,BJinx,RKhaZix,RCaitlyn,RKarma,RZed,RGalio,RTrue
BTryndamere,BLee Sin,BCassiopeia,BLeona,BLucian,RLeBlanc,RCaitlyn,RMorgana,RMaster Yi,RDarius,RFalse
BLux,BTwitch,BZyra,BGragas,BTeemo,RUdyr,RThresh,RJhin,RQuinn,RCassiopeia,RTrue
BRakan,BRiven,BJax,BTristana,BCassiopeia,RJhin,REkko,RTryndamere,RJarvan IV,RBard,RFalse
